task,method,seed,n_evals,folds,wall,own_best,ref_cv,regret,test,hit_optimum
hgb_synth,ags_no_prune_no_stop,4,40,200,17.89725834799998,0.959323640960809,0.952117572692794,0.0068426042983563695,0.9638752986687905,False
hgb_synth,ags_no_prune_no_stop,5,40,200,25.55009439899999,0.9607774968394438,0.9574589127686473,0.0015012642225030737,0.9677722152690864,False
hgb_synth,ags_no_prune_no_stop,6,40,200,13.114691335999964,0.9575063211125159,0.9467762326169407,0.012183944374209665,0.9598361588349072,False
hgb_synth,ags_no_prune_no_stop,7,40,200,21.65165636499995,0.9600505689001263,0.9549304677623262,0.004029709228824174,0.9690522243713734,False
hgb_synth,ags_no_prune_no_stop,8,40,200,25.706948564000072,0.9588653603034134,0.9534608091024019,0.0054993678887483854,0.9688531118443509,False
hgb_synth,ags_no_prune_no_stop,9,40,200,20.761426313000015,0.961156763590392,0.9541877370417193,0.0047724399494309955,0.9679144385026739,False
hgb_synth,ags_gp_no_stop,0,40,196,26.849921572000028,0.961599241466498,0.9555309734513273,0.0034292035398230114,0.9691944476049607,False
hgb_synth,ags_gp_no_stop,1,40,170,17.235053891999996,0.9573061525495153,0.9484671302149177,0.01049304677623264,0.9632210717942883,False
hgb_synth,ags_gp_no_stop,2,40,199,26.505153899999982,0.95673198482933,0.9555309734513273,0.0034292035398230114,0.9725224712709069,False
hgb_synth,ags_gp_no_stop,3,40,178,22.63729401699993,0.9594263590391909,0.9541877370417193,0.0047724399494309955,0.9679144385026739,False
hgb_synth,ags_gp_no_stop,4,40,183,17.835231109999995,0.959323640960809,0.952117572692794,0.0068426042983563695,0.9638752986687905,False
hgb_synth,ags_gp_no_stop,5,40,162,18.527509819999977,0.9649178255372945,0.951153603034134,0.007806573957016338,0.9573614745704858,False
hgb_synth,ags_gp_no_stop,6,40,166,13.709751335999954,0.9584860935524653,0.9525600505689003,0.006400126422250074,0.9646433041301626,False
hgb_synth,ags_gp_no_stop,7,40,188,22.99462238000001,0.9600505689001263,0.9549304677623262,0.004029709228824174,0.9690522243713734,False
hgb_synth,ags_gp_no_stop,8,40,184,25.536819987000058,0.9605562579013907,0.9589601769911503,0.0,0.9698771191261805,True
hgb_synth,ags_gp_no_stop,9,40,179,23.04622852700004,0.961156763590392,0.9541877370417193,0.0047724399494309955,0.9679144385026739,False
hgb_synth,random,0,40,200,15.008343373999992,0.9599557522123894,0.9556573957016437,0.0033027812895066733,0.9701331209466378,False
hgb_synth,random,1,40,200,16.533623131000013,0.9545353982300885,0.9564949431099874,0.0024652338811629315,0.9713846854022073,False
hgb_synth,random,2,40,200,15.588736148000066,0.9579329962073324,0.9574589127686473,0.0015012642225030737,0.9677722152690864,False
hgb_synth,random,3,40,200,16.58621899700006,0.957790771175727,0.9527338811630848,0.006226295828065553,0.9672033223347366,False
hgb_synth,random,4,40,200,15.133911818000001,0.9581700379266753,0.9525600505689003,0.006400126422250074,0.9646433041301626,False
hgb_synth,random,5,40,200,15.348007062999955,0.9584386852085967,0.9560682680151708,0.0028919089759795735,0.9678859938559563,False
hgb_synth,random,6,40,200,19.045184897000013,0.9585335018963337,0.955673198482933,0.003286978508217353,0.9730913642052567,False
hgb_synth,random,7,40,200,18.136640682000007,0.9600505689001263,0.9549304677623262,0.004029709228824174,0.9690522243713734,False
